Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
tersedu-sedu,,,,,sengi-sengi
tersedu-sedu,,,,,sigsigan
tersenyum,kenyir,kenyir,"kening, kenyir",,
terserah,,,,,sara
terserah,,,,,sukserah
"tersingkap, terbuka sedikit",,,,,kebit
tersumbat,,,,,sampet
tertata rapi,,,,,cepil
tertawa,kedek,"kendel, kedek",ica,,
tertawa kecil,,,,,"jengit, ngejengit"
tertawa mendadak,,,,,"kebris, mekebris"
tertimpa bahaya,,,,,lepetan
"tertulis, tersebut","ungguh, mungguh",,,"unggah, munggah",
tertumpah,,,,,makebios
tertusuk benda kecil di sela kuku,,,,,singsingan
tertusuk benda kecil di tangan,,,,,subsuban
tertusuk dan melekat,,,,,"sentel, nyentel"
tertutup,,,,,empet
tertutup,,,,,ngep
"terung, terong",tuung,,,arungan,
terus diberi makan,,,,,bekbek
"terus mengalir, deras",,,,,deres
terus-terusan,,,,,neren
terutama,pinihbuata,kapertama,"luwih, luwih",,
tetangga,,,,,pisaga
"tetap, tak punya pinggang",,,,,begbeg
tetapi,nanging,,,"sakewanten, kemaon",
"tetapi, melainkan","nanging, sakewanten",kewanten,sakewanten,,
"tetep, teguh, tekun",,,,,langgeng
"tetes, menetes",,,,,"ketel, ngetel"
tetua,panua,,,panglingsir,
tetua,sesepuh,,,lelingsir,
tiang bale,adegan,,,saka,
tiba,"teka, teked","napak, dateng","rauh, rawuh",,
"tiba, tiba","jeg, ujug, ujug","premangkin, tandumade",kancit,,
tibah,tibah,,,wangkudu,
"tibanya, kedatangan",tekane,"napak, dateng",rauhe,,
tiba-tiba patah semangat,,,,,"kesiong, makesiong"
tiba-tiba teringat,,,,,"kebiah, makebiah"
tiba-tiba/serentak,sahasa,,,sagrehan,
tidak,"tusing, tuara",tan,"nenten, tanwenten",,
tidak,aing,,,nenten,
tidak,"tuara, tusing",,,nenten,
tidak,tusing,,,nenten,
tidak bersamaan waktu,,,,,"clancan, nylancan"
"tidak bicara, suaranya jelek",,,,,beda
tidak enak didengar,,,,,senglad
tidak hujan,,,,,endang
tidak karuan,,,,,"acuh, ngacuh"
tidak karuan,,,,,aur
tidak kelihatan,ilid,,,singid,
tidak kembali,,,,,encep
tidak kenapa-napa,,,,,"mapa,sing mapa"
tidak kuat/reyod,onyed,,,raya,
tidak malu,juari,,,nenten kemad,
tidak malu,,,,,pongah
tidak memberi makan,,,,,"kenta, ngenta"
tidak mengembalikan,,,,,pendet
tidak mungkin,johpara,,,dohpara,
tidak naik kelas,,,,,lama
"tidak saling bicara, musuhan",,,,,puik
tidak sangat,,,,,"gigis, agigis"
tidak setia,,,,,nitia
tidak tahan,,,,,kenyih 
"tidak tajam, tidak kuat",,,,,lumah
"tidak tenang, pikirian buyar",,,,,samuh
tidak tepat tujuan,,,,,"sasar, nyasar"
"tidak, bukan",tidong,,,nenten,
tidur,pules,sirep,makolem,,
tidur sebentar,,,,,"jrepjep, nyle[je["
tiga,"telu, tetelu",,,"tiga, tri",
tiga hari,"telun, itelun",,,tigang rahina,
tiga hari lalu,ipuan,,,dikalih rahina,
tiga hari lalu,itelun,,,ditigang rahina,
tiga hari penting berturutan,,,,,semut sadulur
tiga kali,pingtelu,,,pingtiga,
tiga puluh lima,,,,,pesasur
tigabelas,telulas,,,tugawelas,
tigakali,pangtelu,,,pingtiga,
tigapuluh,telungdasa,,,tigangdasa,
tigapuluh delapan,telungdasa kutus,,,tigangdasa kutus,
tigapuluh dua,telungdasa dua,,,tigangdasa kalih,
tigapuluh empat,telungdasa pat,,,tigangdasa papat,
tigapuluh enam,telungdasa nem,,,tigangdasa nenem,
tigapuluh satu,telungdasa besik,,,tigangdasa siki,
tigapuluh sembilan,telungdasa sia,,,tigangdasa sia,
tigapuluh tiga,telungdasa telu,,,tigangdasa tiga,
tigapuluh tujuh,telungdasa pitu,,,tigangdasa pitu,
tikar,tikeh,tikeh,pelasa,,
tikar,tikeh,,,"klasa, tiker",
tikar pandan besar-besar,,,,,"glodog, tikeh glodog"
"tikung, menikung",,,,,"likuk, malikuk"
tikus,bikul,bikul,bikul,,
tikus,bikul,,,jero ketut,
"timba, menimba","teku, neku",,,"timba, nimba",
"timba, menimba",,,,,"teku, neku"
"timbangan, menimbang",,,,,"dacin, nacin"
timbul,metu,,,wetu,
timbun,dugdug,,,pulpul,
"timbun, menimbun",,,,,"urug, ngurug"
timur,kangin,kangin,wetan,,
timur,kangin,,,purwa,
tinggal,"idup, nongos, magumi",malinggih,magenah,,
tinggal,ngoyong,magenah,"jenek, meneng",,
tinggal dan memasak bersama,,,,,"rob, ngerob"
"tinggal, bertempattinggal","ngoyong, nongosmadunung",magenah,malinggih,,
"tinggal, diam",enungoyong,karijenektetep,"kantun, jenek",,
tinggi,tegeh,duur,"duur, duhur",,
tinggi,tegeh,,,"luhur, parama",
tinggi tubuhnya,,,,,landung
tingkah laku,,,,,"polah, paripolah "
tingkah laku,,,,,sila
"tingkah, kebiasaan, pekerjaan",,,,,"gaduh, gegaduhan"
tingkat,,,,,"tumpang, numpang"
tingkat,,,,,"tumpang, numpang"
"tingkat, bertingkat",,,,,"panta, mapanta"
"tingkat, henti",,,,,pangked
"tingkat, meningkatkan",,,,,"tincap, nincapang"
tingkatan,undag,undang,pangked,,
tipis,,,,,tipis
tipu,,,,,apus
tipu mislihat,,,,,"indrajala, pangindrajala"
tirai,,,,,langse
"tirai belah dua untuk pentas arja, dll",,,,,rangki
"tirai, korden",langse,sanur,sanur,,
tiri,,,,,kawalon
tiru,tukad,,,anggit,
"tiru, meniru","tempa, nempa",,,"tiru, niru",
"tiru, meniru","tuutin, nuut",,,"tulad, nulad",
"tiruan, tiru","tulad, nulad",tulad,"nilad, tulad",,
"titih, jenis kutu busuk di tempat tidur",,,,,titih
"titip, menitip",,,,,"papet, mapet"
tiup,ampeh,,,tempuh,
"tiup, angin sepoi-sepoi",,,,,"sirsir, sirsir angin"
"tiup, meniup",,,,,"upin, ngupin"
tnetnbawa pada bahu,,,,,"Songsong, nyongsong"
tokoh permaisuri dalam cerita panji,,,,,limbur
tolak,tungkas,,,tulak,
"tolak, menolak",,,,,"tulak, nulak"
"tolong, bantu","tulungin, uopin",tulungin,tulungin,,
tonggak ditancapkan sebgai pembatas,,,,,patok
tongkat,tungked,,,"teteken, anda",
tonton,balih,,,tonton,
tonton,pabalih,,,tonton,
topeng,,,,,"Tapel, topeng"
topi,"capil, topong",kekereb,kekerebketu,,
Topi petani,,,,,Capil 
toreh,,,,,deres
tua,tua,"tua, odah",lingsir,,
tua,odah,,,lingsir,
tua,tua,,,"lingsir, wreda",
tuak,tuak,,,sajeng,
"tuang, menuangkan",,,,,"ketog, ngetogang"
"tuangkan, menuangkan",,,,,"turuhang, nuruhang"
tubuh,awak,"dewek, raga","raga, angga",,
tuda dan berbadan lemah,,,,,ruyud
"tuduh, menuduh",,,,,"dalih, nalih"
"tuju, menuju","jogjog, nyogjog",,,"jujug, jumujug",
"tuju, menuju, mengungsi",,,,,"ungsi, ngungsi"
"tuju, tujuan","tuju, tujuan",,,"ungsi, jujug, tetujon",
tujuan,tetujon,,,patitis,
"tujuan, harapan",pangacep,,,patitis,
tujuh,"pitu, pepitu",,,sapta,
tujuh,,,,,sapta
tujuh puluh lima,telung benang,,,tigang benang,
tujuh puluh tiga,pitungdasa telu,,,pitungdasa tiga,
tujuhpuluh dua,pitung dasa dua,,,pitung dasa kalih,
tujuhpuluh satu,pitung dasa besik,,,pitungdasa siki,
tukang,,,,,tukang
tukang kayu/bangunan,,,,,undagi
tukang potong ternak,,,,,jagal
tukar,siruin,gentosin,gentosin,,
"tukar, tertukar",,,,,"silur, masilur"
tukar-menukar barang,,,,,"urup, maurup-urup"
tulang,tulang,tulang,walung,,
tulang,balung,,,walung,
tulang,tulang,,,"galih, walung",
"tular, menular",,,,,"lahlah, ngalah"
"tuli, pekak, budeg, budek",bongol,bongol,nentenmireng,,
"tuli, tidak mendengar",,,,,bongol
"tulis, menulis","tulis, nulus",,,"surat, nyurat",
"tulisan, karya tulis",tulisan,,,sasuratan,
tumbang,,,,,pungkat
tumben,tomben,,,"nembe, tembe",
tumben,tumben,,,"tembe, nembe",
tumbuh,mentik,,,tumbuh,
tumbuh subur,,,,,lanus
tumbuhan yang daunnya menggatalkan,,,,,lateng
tumbuhan yang menjalar di pohon,,,,,gadung
"tumbuhan, tanaman","entik, entikan, pemulan",tatanduran,tetanduran,,
"tumbuk, menumbuk",,,,,"intuk, ngintuk"
"tumbuk, menumbuk",,,,,"tebuk, nebuk"
tumit,ganyot,ganyot,ganyot,,
tumpah,,,,,breok
"tumpuk, bertumpuk",,,,,"susun, masusun-susun"
tumpul,puntulgedul,puntul,puntul,,
tumpul,,,,,poglo
tumpul,,,,,puntul
tunas bambu,,,,,embung
tunas kelapa,,,,,pujer
tunda,,,,,tunggak
"tunggal, satu",tunggal,,,tunggil,
"tunggal, satu, pertama",,,,,"eka, ika"
tunggu,"antos, antiang",,,jantos,
tungguin,antiang,,,jantosang,
tunjuk,,,,,"tunjuk, nunjuk"
tuntun,,,,,"tuntun, nuntun"
"tuntun, menuntun",,,,,"dandan, nandan"
tupai,,,,,semal
"tupai, bajingan",semal,semal,semal,,
turun,tuun,tuun,tedun,,
turun,tuun,,,tedun,
turunan,,,,,"tereh, terehan"
turunan raja,,,,,"ksatria, satria"
turunkan sajian,surud,,,parid,
"turut, perintah, mematuhi","anutin, ngikut, tuut, nututin","inutin, ngetu, nganutin","tinut, tutut, ngiring",,
"turut, tiru",tuut,,,"tinut, tulad",
tusuk,tebek,,,tuek,
tusuk berulang-ulang,,,,,cocoh
"tusuk, menusuk",,,,,"tusuk, nusuk"
tutup,inebang,ubetang,ubetang,,
tutup,"ubet, ubetang",,,"uneb, unebang",
tutup,undeb,,,uneb,
tutup dengan perekat,,,,,"dalit, nalit"
"tutup, menutup",,,,,"tangkeb, nangkeb"
"tutup, menutup",,,,,"tukub, nukub"
tutupan,tekep,tekep,tekep,,
uang,"pipis, pis",jinah,jinah,,
uang,"pis, pipis",,,jinah,
uang pangkal,,,,,"cingkrem, pacingkrem"
uang taruhan,,,,,embung
ubah,,,,,uah
"ubah, menukar","silur, salin",urur,urur,,
uban,uban,uban,uban,,
ubi,"sela, kesela",,,ubi,
"ucap, terucapkan",,,,,"wedar, kawedar"
"ucap, ujar",ucap,,,ojar,
"udara, langit",langit,ambaralangit,akasalangit,,
ugal-ugalan,,,,,ugal-ugalan
ujung,,,,,tanggu
ujung kain laki-laki,,,,,kancut
ujung kain lelaku,kancut,,,lancingan,
ujungnya atap,,,,,kampiah
ukir,ukir,ukir,ukir,,
"ukur, mengukur",,,,,"sikut, nyikut"
Ukuran beras,,,,,Caeng
ukuran sawah dari hulu ke hilir,,,,,"tuluk, atuluk"
ukuran tanah,,,,,cutak
ukuran tanah zaman dahulu,,,,,acutak
"ukuran, batas, alat cetak",,,,,"jangka, penyangkan"
"ukuran, besarnya",gedene,agengipun,ageng,,
ulang tahun,ulang taun,,,wanti warsa,
ular,lelipi,"ula, naga","ula, naga",,
ular,"lelipi, lipi",,,ula,
ulat,uled,,,uler,
"umbi,bagian pohon tertenam",,,,,Bungkil
umbi-umbian untuk bumbu,,,,,bebungkilan
umpama,upama,,,upami,
umpamanya,"ande, sandenya",seumpamanya,umpama,,
umpamanya,umpamane,,,upaminnyane,
umpan,baneh,,,baren,
umumkan,siarang,,,sobyahang,
umur,"tuuh, tuwuh",,,yusa,
"undang ,mengundang",,,,,"undang, ngundang"
undangan,undangan,,,uleman,
unjuk bicara,,,,,cempleng
"untuk, bagi",buatteken,buatring,"kangge, pabuat",,
untung,keagetan,keagetan,keagetan,,
untung,,,,,aget
"untung, laba","aget, bati",bukti,bukti,,
"untung, laba",,,,,bati
Upacara 3 bulanan,,,,,"sambut, nyambutin"
upacara kematian,aben,aben,lebon,,
upacara kematian,,,,,pitrayadnya 
upacara menyusul pengabenan,,,,,"sekah, nyekah"
upacara penyucian,,,,,biakala
upacara perkawinan,masakapan,,,makalan-kalan,
upacara potong gigi,,,,,"pandes, mapandes"
upacarai. mengupacarai orang meninggal,,,,,prateka. mrateka
"upah, mengupah",,,,,"upah, ngupah"
upaya,daya,,,"wiweka, upaya, winaya",
urai,,,,,gambah
"uraian kebatinan, petuah, nasihat",,,,,tutur
urat,uat,uat,otot,,
"urat, otot",uat,,,urat,
urun,,,,,celos
urus,"urus, kencanin",karyanin,karyanin,,
"usia, umur",tuwuh,yusa,yusa,,
"usil, suka mengusik orang",,,,,culig
"usir, mengusih",,,,,"tundung, nundung"
usunga jenazah,,,,,"wadah, bade"
usus,"usus, basang basang",basang basang,,,
utama,utama,,,utami,
"utama, mahasuci",,,,,pramesti
"utama, terhormat",,,,,singgih
"utamakan, pentingkan",buatang,saratang,buatang,,
utamanya,utamane,,,utaminipun,
utara,kaja,kaler,kidul,,
utara,kaja,,,kaler,
utuh,tileh,,,sukla,
"utus, mengutus, mengirim utusan",,,,,"utus, ngutus"
wabah,,,,,grubug
wadih,"med, emed",,,waneh,
"wajar, pantas",nyandang,,,"patut, kapatut",
wakil,wakil,,,"pangliman, patajuh",
waktu,,,,,dauh
waktu,,,,,masa
waktu malam,nuju peteng,nuju wengi,rikala wengi,,
"waktu, kesempatan",waneng,,,"sengker, galah",
"waktu, ketikaselama",dugas,duk,daweg,,
walapun,yadiapin,yadiastu,yadiastu,,
walaupun,japi,,,yadiastu,
walaupun,"kapi, kaputui",,,yadiastu,
walaupun,,,,,jawat
"walaupun, meskipun",yadiapin,,,yadiastun,
"walaupun, meskipun",yadin,,,"yadiastu, yadiastun",
wanita keturunan predewa,,,,,desak
warga,krama,,,warga,
"warga, anggota",,,,,krama
warna,"warna, goba","warna, rupa",warni,,
warna,warna,,,warni,
warung,,,,,warung
warung kecil,,,,,penggak
waspada,,,,,tangar
"waspada, awas, hati hati",tangar,yatna,yatna,,
"waspada, persis tahu",pedas,,,"tatas, waspada",
waspadai,"tangar, tangarin",,,"yatna, yatnain",
waspadakan,pedasang,,,waspadayang,
"was-was, khawatir",sengsaya,,,"marma, ajerih",
wayang,wayang,,,ringgit,
"wibawa, kharisma",,,,,wibawa
wilayah,palemahan,,,wewidangan,
wilayah,,,,,tempek
wilayah kekuasaan,,,,,wewengkon
"wujud janda yang seram, lidah panjang",,,,,rangda
ya,"ya, iya","inggih, patut",patut,,
"yaitu, antara lain","luir, luire",,,"luiripun, minakadi",
"yakin, sangat beharap",,,,,agen
yang,ane,sane,sane,,
yang,ane,,,sane,
Yang mana,Ane encen,Sane encen,Sane encen,,
yang mana,encen,,,sane encen,
Yang pertama,Ane paling malu,Sane pinih riin,"Sane pinih riin, sane ping arep",,
"yuyu, sebangsa kepiting di air tawar",,,,,yuyu
zaman sekarang,"cara, carajanine",,,"turah, turahmangkine",
